regionname,statename,price_2010,price_2011,price_2012,price_2013,price_2014,price_2015,price_2016,price_2017,price_2018,price_2019,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019
Parma,Ohio,97416.66667,77325,77108.33333,81333.33333,82041.66667,87958.33333,96275,103191.6667,114458.3333,120533.3333,81456,80961,80623,80453,80166,80037,79627,79103,78622,78103
Upland,California,340558.3333,332025,335850,396908.3333,438616.6667,458958.3333,472250,494908.3333,544616.6667,542041.6667,73884,74465,74933,75188,75542,75970,76374,76778,76833,77140
Deltona,Florida,76241.66667,64391.66667,69308.33333,82525,89500,102500,125575,143308.3333,160358.3333,170783.3333,85096,84979,85139,85583,86295,87728,89314,90586,91718,92757
Carson,California,306350,283891.6667,276341.6667,333083.3333,364325,408925,432333.3333,468058.3333,511408.3333,536183.3333,91599,91690,92162,92535,92684,92752,92572,92193,91626,91394
Hoover,Alabama,228783.3333,221616.6667,223333.3333,231116.6667,229025,237808.3333,246925,252616.6667,274266.6667,289183.3333,80953,81617,82952,83581,84005,84592,84895,85235,85517,85768
Porterville,California,120558.3333,104808.3333,109516.6667,127366.6667,147933.3333,150691.6667,164616.6667,178700,195683.3333,203516.6667,58197,58540,58708,58891,58995,59721,59699,59745,59685,59599
Brooklyn Park,Minnesota,154016.6667,133466.6667,140891.6667,159758.3333,169175,191516.6667,206258.3333,221500,238350,252258.3333,75963,76883,77905,78471,78816,79256,79871,80322,80524,80389
Mountain View,California,715591.6667,690125,753841.6667,802716.6667,964200,1168141.667,1262616.667,1352958.333,1612875,1514608.333,74236,75108,76507,77955,79150,80345,80821,81189,83168,82739
Lawrence,Massachusetts,,,,,,,,221041.6667,253741.6667,264691.6667,76551,77260,77910,78382,79182,79699,79818,80003,80112,80028
Turlock,California,,,,,,,,,310825,332908.3333,68848,69251,69719,70261,70868,71776,72578,73241,73396,73631
Somerville,Massachusetts,355500,375091.6667,389791.6667,426308.3333,477725,539883.3333,588925,641158.3333,698158.3333,705391.6667,75877,76710,77620,78573,78991,79715,80936,81204,81357,81360
Missouri City,Texas,168900,166391.6667,175691.6667,188525,213716.6667,228166.6667,229858.3333,235666.6667,235316.6667,242583.3333,66905,67441,68107,69314,71076,73611,74359,74617,74834,75457
Mission,Texas,,,,,,,,150158.3333,148241.6667,153000,78118,79728,80920,81486,82167,82823,83257,83576,83958,84331
Bellflower,California,,,,,,,,,492016.6667,523700,76624,76939,77202,77404,77532,77794,77581,77326,76906,76435
Pasco,Washington,151716.6667,151725,158250,163658.3333,168008.3333,177741.6667,192316.6667,214016.6667,237825,268025,62928,65539,67673,68398,69500,70330,71514,72810,74485,75432
Lodi,California,170608.3333,159891.6667,173841.6667,212066.6667,239791.6667,260325,290025,314350,331966.6667,,62253,62741,63048,63128,63620,64264,64578,65715,67003,67586
Casa Grande,Arizona,85741.66667,79350,93683.33333,115316.6667,119883.3333,132558.3333,139058.3333,155225,169283.3333,182258.3333,48955,48904,49453,49777,51362,52687,54247,55695,57019,58632
Rancho Cordova,California,184900,153566.6667,157608.3333,207133.3333,242083.3333,257058.3333,290166.6667,318083.3333,340450,360683.3333,65067,65970,66725,67722,69389,70640,72162,73398,74478,75087
Baldwin Park,California,242316.6667,234775,230908.3333,282108.3333,317716.6667,345750,369475,384341.6667,436591.6667,442983.3333,75421,75750,76183,76364,76375,76427,76219,75948,75572,75251
San Ramon,California,629816.6667,584875,589450,728533.3333,779066.6667,820308.3333,854733.3333,885933.3333,979075,1009208.333,71585,72174,72850,73560,74329,75138,75703,75795,75851,75995
Deerfield Beach,Florida,62766.66667,61050,69358.33333,91116.66667,103066.6667,117141.6667,130050,140333.3333,156458.3333,157908.3333,75178,76504,77395,78002,78565,79334,79972,80525,80666,81066
Racine,Wisconsin,82491.66667,59341.66667,57558.33333,63675,65900,72775,82075,92000,111883.3333,,78460,78170,77904,77782,77607,77290,77155,77188,77075,76760
Marysville,Washington,222600,180641.6667,176141.6667,214633.3333,241850,256616.6667,289808.3333,325308.3333,358758.3333,376883.3333,60193,61243,62297,63135,64919,66558,67586,68897,69606,70298
Schenectady,New York,160941.6667,160958.3333,164125,156725,161125,150566.6667,153833.3333,156633.3333,164375,170291.6667,66151,66098,66087,65829,65846,65538,65076,65300,65345,65273
Avondale,Arizona,105375,93450,108991.6667,137375,145558.3333,162841.6667,177000,196533.3333,212066.6667,230600,76232,77279,78718,79745,80726,81924,83288,84742,85715,87931
Redlands,California,221450,215150,223850,286233.3333,312625,329275,355758.3333,365966.6667,405758.3333,412225,68807,69320,69637,69800,70209,70625,71027,71342,71416,71513
Noblesville,Indiana,,,,,,,175366.6667,185475,207666.6667,216533.3333,52909,54248,55542,56849,57725,58741,60304,61874,63303,64668
Temple,Texas,110050,113991.6667,108675,112733.3333,113941.6667,125350,127508.3333,139650,149016.6667,159533.3333,66614,67124,68756,69544,70199,71786,73003,74377,76165,78439
Folsom,California,338041.6667,299425,322941.6667,382183.3333,404766.6667,423366.6667,451058.3333,486441.6667,527100,547900,72110,72542,73042,72782,74950,75935,76999,77798,78842,81328
Plymouth,Minnesota,262366.6667,233966.6667,250858.3333,263166.6667,280300,290208.3333,297083.3333,323975,350733.3333,350933.3333,70715,71703,73104,74096,75176,76034,77341,78128,79345,79768
Springfield,Oregon,,,,,,,,,244133.3333,267708.3333,59445,59859,59974,60019,60164,60436,61531,62373,62806,63230
Bethlehem,Pennsylvania,156283.3333,141333.3333,140475,139983.3333,141075,147491.6667,151508.3333,155841.6667,170775,175266.6667,74979,75061,75040,74852,74966,74966,75273,75546,75742,75815
Huntington Park,California,,,,,,,348191.6667,378016.6667,408500,,58125,58334,58524,58739,58908,58933,58701,58476,57998,57509
Petaluma,California,402016.6667,364316.6667,367508.3333,449358.3333,518600,543750,612000,660225,709083.3333,685566.6667,58037,58236,58728,59337,59753,60295,60468,60682,61826,60520
Alpharetta,Georgia,248750,237800,231125,258125,281808.3333,293591.6667,300233.3333,327233.3333,355391.6667,383925,57691,59141,61577,61937,62693,63337,65411,65734,66257,67213
La Mesa,California,,312075,325858.3333,390633.3333,411616.6667,422983.3333,460150,503150,525583.3333,548500,57149,57644,58099,58556,58855,59697,59751,59722,59389,59249
Lake Forest,California,398483.3333,369333.3333,393691.6667,479691.6667,536000,549833.3333,578016.6667,601158.3333,664316.6667,682400,77552,78299,78727,79112,79678,81964,83019,83878,85381,85531
New Rochelle,New York,608116.6667,594125,546441.6667,573466.6667,609900,608600,632150,613550,656208.3333,660458.3333,77233,77701,78328,79265,79342,79419,79455,79084,78822,78557
Milpitas,California,442741.6667,420783.3333,458000,547833.3333,627875,740116.6667,792416.6667,867641.6667,1047616.667,976625,66729,67124,68862,69944,73560,77485,77829,77874,80208,84196
Dothan,Alabama,,,,,116308.3333,121016.6667,129658.3333,132400,137683.3333,146816.6667,66097,66619,67212,67666,68122,68295,68287,68293,68337,68941
New Britain,Connecticut,,,,113425,116991.6667,115833.3333,129350,125100,142650,145458.3333,73251,73274,73221,73050,73048,73213,72816,72626,72591,72495
Goodyear,Arizona,144833.3333,132600,143300,168791.6667,184675,191316.6667,217983.3333,231583.3333,252108.3333,272425,65502,66589,67822,70392,72346,74815,77412,79945,82873,86840
Baytown,Texas,,,91991.66667,100116.6667,116866.6667,121991.6667,133108.3333,145091.6667,161283.3333,158600,71757,72500,73311,75334,75926,76286,76369,76693,76592,77192
Tulare,California,,,,,,,,,195816.6667,216600,59432,59789,60625,60905,61444,61915,62538,63486,64274,65496
North Little Rock,Arkansas,,,,,103491.6667,108275,97425,100233.3333,110291.6667,105808.3333,62436,63482,64645,65929,66656,66388,66141,65855,66022,65903
Rogers,Arkansas,,,139133.3333,138933.3333,143108.3333,161416.6667,175050,181158.3333,189258.3333,214416.6667,56361,58226,59666,60663,62086,63584,65236,66605,67635,68669
Southfield,Michigan,51808.33333,47666.66667,49308.33333,65533.33333,87000,104150,107850,126500,136391.6667,148050,71760,72248,72711,73226,73439,73389,73465,73386,72976,72689
Springdale,Arkansas,,,,,,,,149716.6667,164775,176958.3333,71129,72453,73712,75121,76238,77524,78737,79819,80907,81125
San Marcos,Texas,,,148175,160916.6667,160566.6667,182841.6667,197383.3333,213791.6667,212158.3333,229516.6667,45267,47687,50010,54403,58983,60446,61726,63526,63688,64776
Chino Hills,California,418450,389691.6667,386916.6667,477333.3333,538716.6667,543916.6667,568766.6667,568516.6667,682300,633941.6667,74963,75639,76042,76285,76509,77826,78452,80115,83239,83853
Lake Elsinore,California,181283.3333,176916.6667,181391.6667,231183.3333,268200,289191.6667,310558.3333,334875,363225,370333.3333,53627,55078,56044,57711,60111,61955,63807,66066,68051,69283
Bossier City,Louisiana,151908.3333,152708.3333,155775,152966.6667,147458.3333,171925,174675,168808.3333,174383.3333,173883.3333,62120,63540,65414,66191,67078,68157,68125,68471,68316,68159
Hammond,Indiana,,,,,51225,56625,68358.33333,77583.33333,85891.66667,104366.6667,80718,80220,79648,79009,78586,77688,77151,76489,75877,75522
Gastonia,North Carolina,,,,,,119933.3333,127850,131166.6667,140916.6667,155333.3333,71707,71871,72503,72789,73183,74009,74963,76307,76885,77273
Gaithersburg,Maryland,,,,,,,,353025,375875,368108.3333,60185,61440,63037,65673,66518,67081,67587,67987,68070,67985
Pawtucket,Rhode Island,,,,,,,,,204150,216191.6667,71267,71406,71582,71623,71693,71755,71775,71600,71973,72117
San Rafael,California,,,,,,,,,978883.3333,1006975,57797,58232,58448,58995,59130,59074,58918,58801,58704,58440
West Lafayette,Indiana,153400,144883.3333,152558.3333,155200,164358.3333,163241.6667,179258.3333,192875,200066.6667,218000,42052,42526,43227,43666,44975,46174,47503,47504,49019,50996
Yuba City,California,165833.3333,153433.3333,147491.6667,183200,208433.3333,224958.3333,238433.3333,264483.3333,286183.3333,305833.3333,65631,65364,65283,65538,65757,66134,66218,66564,66695,67010
Lauderhill,Florida,46966.66667,41850,50091.66667,53600,65108.33333,65933.33333,82150,91500,94675,100841.6667,67084,68246,69012,69531,70110,70901,71474,71915,71924,71868
Yorba Linda,California,601375,563866.6667,558075,659175,705958.3333,702175,730800,750291.6667,809516.6667,801408.3333,64390,65610,66282,66803,67359,67527,68033,67895,67589,67644
Layton,Utah,192166.6667,179433.3333,190625,201883.3333,201975,215041.6667,229058.3333,249841.6667,283833.3333,306416.6667,67813,68479,68899,70978,72360,73929,75482,76447,77181,78014
Redondo Beach,California,631900,617791.6667,607975,711508.3333,748608.3333,812441.6667,861750,902783.3333,1033233.333,1027141.667,66933,67192,67438,67629,67673,67771,67809,67511,67206,66749
Framingham,Massachusetts,264533.3333,270875,280416.6667,293000,304316.6667,328958.3333,351408.3333,374200,398183.3333,420341.6667,68665,69656,70061,70411,70786,70938,71459,71784,72909,74416
Lynwood,California,223150,224441.6667,227016.6667,257016.6667,288658.3333,322116.6667,361325,392091.6667,416591.6667,448233.3333,69595,69661,70576,71146,71193,71397,70979,70685,70285,69887
Dubuque,Iowa,,,,,,,,,150525,160291.6667,57689,57916,58165,58491,58573,58566,58248,58299,57975,57882
Union City,California,375591.6667,344116.6667,376633.3333,478658.3333,537158.3333,617458.3333,688200,745008.3333,881558.3333,823958.3333,69630,70597,71642,72552,73481,74343,75465,75227,74560,74107
Davis,California,446158.3333,435908.3333,415916.6667,473683.3333,513533.3333,528008.3333,536925,586800,650016.6667,666100,65584,65657,65781,66213,66545,67367,68028,68802,69220,69413
Waterloo,Iowa,,87208.33333,94916.66667,102300,99383.33333,101300,107333.3333,107500,108333.3333,116000,68492,68554,68535,68700,68676,68619,68108,67758,67722,67328
Palm Beach Gardens,Florida,225291.6667,202358.3333,221325,259658.3333,281758.3333,295766.6667,303475,325250,343191.6667,362008.3333,50012,50563,51320,52221,53388,54437,55536,56360,57007,57704
Alameda,California,552283.3333,485233.3333,482833.3333,579408.3333,671408.3333,743508.3333,814216.6667,867208.3333,910958.3333,954525,73946,74692,75637,76479,77509,78459,79091,79037,78344,77624
Brentwood,California,295333.3333,290441.6667,306850,377983.3333,407308.3333,450841.6667,490883.3333,531033.3333,573991.6667,595275,51813,52716,53508,54916,56854,58796,60571,62265,63760,64474
Hanford,California,,,,,,,,,223791.6667,235950,54463,54612,54524,54741,55086,55608,55663,56383,56971,57703
Union City,New Jersey,,,,,254283.3333,274700,295508.3333,332275,353550,361250,66459,67446,67844,68232,68302,68119,68365,68485,68124,67982
Palo Alto,California,1226966.667,1203083.333,1467175,1689116.667,2071183.333,2281033.333,2292091.667,2390391.667,2689483.333,2652258.333,64535,65345,66089,66613,66848,66782,67353,66960,66258,65364
Mount Vernon,New York,,,,,,,367841.6667,353958.3333,414633.3333,424041.6667,67399,67751,67844,68133,68213,68281,68245,67966,67655,67345
Ames,Iowa,,,,,,,,,211650,218758.3333,59098,60440,61427,63053,64773,65685,65915,66301,66001,66258
Cedar Park,Texas,,,,,,,270758.3333,287583.3333,300433.3333,320541.6667,55777,58840,61496,64800,67161,69556,72545,75559,76903,79462
Weston,Florida,288875,271283.3333,283741.6667,334325,370591.6667,371991.6667,381833.3333,406008.3333,427258.3333,439458.3333,65591,66840,67702,68333,68926,69687,70324,70901,71030,71166
Kenner,Louisiana,140808.3333,138650,140941.6667,142300,144258.3333,148850,150283.3333,157583.3333,171675,181491.6667,66635,66814,66781,66836,66776,66896,67083,66933,66584,66340
Maple Grove,Minnesota,274108.3333,233108.3333,220358.3333,230675,247250,257008.3333,259091.6667,272675,294175,303241.6667,61778,63196,64504,65442,66966,68405,69678,70812,71711,72622
Daytona Beach,Florida,,,66916.66667,77725,80991.66667,99166.66667,110133.3333,120450,138583.3333,134566.6667,61626,61720,62199,62957,63560,64962,67076,68096,68709,69186
Woodbury,Minnesota,,,,,,,,,291658.3333,318600,62250,63559,64472,65523,66625,67445,68495,69520,71231,72828
Portland,Maine,,,,,,,,,300600,314275,66088,66183,66216,66391,66832,66825,66911,66646,66405,66215
Lakewood,Washington,206075,176725,163025,183233.3333,191975,208425,227466.6667,264000,288983.3333,313716.6667,57600,57945,58110,58144,58580,58885,59747,60316,60511,61037
Corvallis,Oregon,254808.3333,245150,254100,263058.3333,270300,287491.6667,303983.3333,328091.6667,361650,371250,54401,54730,55139,54710,55517,56375,57327,58546,58969,58856
Bellevue,Nebraska,,,,,,,,,172016.6667,191158.3333,51634,51858,52407,52786,52706,52956,53291,53398,53494,53544
Rockville,Maryland,,,,419525,443158.3333,433858.3333,461108.3333,457775,469891.6667,474525,61484,62055,63286,63825,65445,66733,66923,67830,68028,68079
North Port,Florida,90016.66667,87675,98333.33333,116458.3333,127641.6667,142241.6667,165075,176275,192091.6667,197766.6667,57389,57726,58416,59113,60323,62244,64371,66272,68438,70724
Eagan,Minnesota,203041.6667,186883.3333,188516.6667,218575,228433.3333,241516.6667,249283.3333,254666.6667,266150,296333.3333,64202,64488,64878,65403,65996,66212,66328,66594,66472,66372
Youngstown,Ohio,,,,,,,22708.33333,26325,30416.66667,29625,66876,66556,66056,65470,65142,64687,64335,64540,64860,65469
North Richland Hills,Texas,142725,145750,157533.3333,173458.3333,168175,182708.3333,201158.3333,221750,238283.3333,249125,63479,64256,65254,67239,68424,69145,69973,70516,70686,70670
Madison,Alabama,,,,167575,175683.3333,179075,181275,187925,204550,222150,43556,44304,45189,45929,46636,47170,48158,49207,50491,51593
Pico Rivera,California,280800,268491.6667,260558.3333,307033.3333,347416.6667,372808.3333,404308.3333,439708.3333,469566.6667,480500,62960,63221,63430,63597,63637,63670,63438,63133,62677,62027
Hendersonville,Tennessee,200700,189800,184825,195208.3333,216650,223941.6667,242825,264650,273325,293000,51485,52283,52919,53824,54851,55597,56563,57560,57634,58113
Charleston,West Virginia,126525,126000,127666.6667,129008.3333,126216.6667,148441.6667,148350,138391.6667,143500,134008.3333,51274,50992,50858,50657,50133,49457,48789,48040,47172,46536
Lakeville,Minnesota,227383.3333,202458.3333,214883.3333,243475,252058.3333,277316.6667,283258.3333,297625,313283.3333,363500,56161,56711,57471,58697,59976,60791,61997,63677,65778,67317
Caldwell,Idaho,,,,,,126950,143425,157141.6667,183875,217608.3333,46535,47271,47708,48964,50122,51543,53106,54738,56478,58481
Laguna Niguel,California,515125,499550,507491.6667,595983.3333,655316.6667,692466.6667,693316.6667,681200,795300,785866.6667,63119,63774,64134,64381,65079,65396,65145,66011,66079,66385
Rosemead,California,383075,356400,351841.6667,404291.6667,445150,470325,487208.3333,513450,583825,609741.6667,53795,54022,54215,54398,54429,54440,54332,54221,54226,54058
South San Francisco,California,493733.3333,449266.6667,453275,571883.3333,639675,743791.6667,789375,833683.3333,957691.6667,971150,63701,64448,65581,66237,66813,67221,67220,67180,67617,67789
La Crosse,Wisconsin,,125791.6667,123950,126841.6667,132133.3333,135150,140825,142266.6667,154358.3333,167733.3333,51376,51225,51962,51885,52145,52023,51830,51718,51491,51227
Tamarac,Florida,74733.33333,69375,74041.66667,93358.33333,118208.3333,124691.6667,139133.3333,157275,179041.6667,186041.6667,60921,62019,62752,63262,63731,64499,65517,66148,66447,66721
