city,state,Rank,Estimates_Base,_2010,_2011,_2012,_2013,_2014,_2015,_2016,_2017,_2018,_2019,Est_2019_Population,Average_Annual_Salary,ZORI_2020-06,Avg_Annual_Rainfall,Lowest_Monthly_Avg_High_Temp,Highest_Monthly_Avg_High_Temp,Violent_Crime_Rate,Property_Crime_Rate,US_News_Overall_Score,US_News_State_Overall_Rank,Data_Scientist_Job_Postings
Fresno, California,34,497172,497769,501429,505414,508880,514100,518203,521426,525373,528814,531576,,,1447,,,,,,5.5,19,1
Sacramento, California,36,466383,467286,470902,474226,478214,482762,488133,494127,500777,507737,513624,2363730,55010,1802,21.2,53,93,387.2,2249.3,6.3,19,6
Atlanta, Georgia,37,427059,429410,437812,449016,453990,461154,468303,479174,491670,498183,506811,6020364,51390,1537,49.7,52,89,367.6,2828,6.6,17,46
Kansas City, Missouri,38,459902,460697,462368,464595,467213,470629,475073,481670,488329,492012,495327,2157990,49460,1148,38.9,38,88,596.7,2727.9,6.7,28,9
Colorado Springs, Colorado,39,417447,420685,427434,432782,438146,442361,449572,458714,465167,472567,478221,745791,50050,1567,16.5,42,85,431.8,2612.3,7.4,10,6
Omaha, Nebraska,40,458989,459659,462101,465261,468086,470423,472638,475044,476271,477299,478192,949442,47660,1137,30.6,33,87,384.5,2750.3,6.8,9,3
Miami, Florida,42,399481,400779,406593,411149,415661,425110,434738,449149,456617,462819,467963,6166488,46860,1924,61.9,76,91,458.2,3076.4,5.8,13,11
Virginia Beach, Virginia,44,437903,438859,442583,445044,447706,448864,450304,450983,449896,449849,449974,,,1332,,,,,,6.1,7,9
Tulsa, Oklahoma,47,392004,392403,393005,394643,398401,399892,403491,404007,402060,400414,401190,,,1081,,,,,,6.3,43,1
Tampa, Florida,48,336150,337053,342589,348090,355172,362664,371464,380344,391026,397232,399700,3194831,46080,1527,46.3,70,90,333.1,2101.6,6.6,13,15
New Orleans, Louisiana,50,343828,347772,360735,369787,378637,383940,389742,391843,391493,391004,390144,,,1398,,,,,,5.7,50,0
Wichita, Kansas,51,382437,382745,383773,385751,387210,388416,389412,390519,390277,389231,389938,,,843,,,,,,6.4,22,5
Bakersfield, California,52,347817,348987,353221,357312,362834,366954,371348,374699,377940,381714,384145,,,1231,,,,,,5.3,19,0
Cleveland, Ohio,53,396665,395926,392667,391550,391792,390871,389244,387662,385252,383214,381009,,,1042,,,,,,6.3,39,8
Corpus Christi, Texas,59,305226,305272,308103,312390,317043,320765,324672,325786,325568,326307,326586,,,,,,,,,6.1,38,0
Stockton, California,62,292182,292888,295363,297045,297493,301062,304550,307158,310143,311628,312697,,,1854,,,,,,5.4,19,0
Cincinnati, Ohio,64,297025,296980,296187,296900,297905,298626,299439,299748,301587,302277,303940,,,1183,,,,,,6.7,39,16
St. Louis, Missouri,65,319289,319336,319344,319416,318476,317399,316010,312633,308233,303419,300576,,,1075,,,,,,6.3,28,25
Pittsburgh, Pennsylvania,66,305245,305283,306012,306355,306902,305964,304070,304643,301494,300570,300286,,,1145,,,,,,6.7,41,20
Greensboro, North Carolina,67,268936,269598,272430,276041,279244,282261,284610,289182,291537,294518,296710,771851,43310,1201,42.2,48,88,469.5,2881.4,6.5,18,3
Orlando, Florida,71,238836,239326,243620,249935,255135,262469,270786,278512,281804,285903,287442,2608147,44410,1565,50.7,71,92,443.8,2771.8,6.5,13,3
Toledo, Ohio,76,287357,287065,285425,283185,282352,280712,279898,278897,276688,274864,272779,,,882,,,,,,6.2,39,0
Fort Wayne, Indiana,77,253739,254161,256293,257626,259333,260570,262109,263513,265128,267460,270402,413263,43590,,,,,283.5,1946.7,6.7,36,0
Madison, Wisconsin,82,233173,233730,236908,239880,243233,245848,248788,252677,255786,257854,259680,664865,52190,1309,34.5,26,82,228.6,1826,7.1,11,8
Reno, Nevada,85,225317,225652,227061,228926,230987,234096,238082,242143,246615,250146,255601,,,,,,,,,6.8,37,2
Buffalo, New York,86,261346,261275,260701,260155,260013,259548,258165,256816,256301,255781,255284,1127983,48180,1040,40.5,31,80,375.7,2185.8,6.7,25,3
Richmond, Virginia,97,204375,204302,206391,210794,213860,217044,220856,225369,227230,229221,230436,1291900,49840,1286,43.6,47,90,244.7,2232.6,6.7,7,8
Spokane, Washington,99,209455,209525,209042,209304,210036,211095,212545,215191,217415,219332,222081,568521,47320,1126,16.6,32,83,322.1,4471.7,6.5,1,0
Baton Rouge, Louisiana,100,229423,229374,228643,228889,228346,227851,227202,226686,224414,222190,220236,,,1191,,,,,,6,50,1
Modesto, California,103,203114,203301,204017,205040,206075,207652,209245,211231,213000,214389,215196,,,,,,,,,5.5,19,0
