,city,state,2010 Avg Price,2013 Avg Price,2014 Avg Price,2015 Avg Price,2016 Avg Price,2017 Avg Price,2018 Avg Price,2019 Avg Price
202,Edinburg,Texas,,,,,,129200.0,132925.0,153481.82
203,Conroe,Texas,143816.67,168291.67,186066.67,195441.67,201233.33,206658.33,217475.0,231481.82
204,Lansing,Michigan,43291.67,47400.0,59416.67,61208.33,69550.0,80525.0,86683.33,93090.91
205,South Bend,Indiana,,78600.0,85708.33,88475.0,90416.67,100075.0,104125.0,113418.18
206,Cary,North Carolina,228525.0,238325.0,248033.33,287633.33,309683.33,319133.33,338400.0,344581.82
207,Paterson,New Jersey,,,,,160500.0,159050.0,192175.0,236609.09
208,Pasadena,Texas,,,111360.0,117233.33,127908.33,139733.33,150025.0,155981.82
209,Yuma,Arizona,137466.67,126691.67,134241.67,136866.67,143750.0,148750.0,163866.67,175245.45
210,Frisco,Texas,,,,333357.14,356666.67,370891.67,379216.67,385327.27
211,Columbia,Missouri,141916.67,151941.67,153100.0,164266.67,165083.33,169291.67,180958.33,190345.45
212,Syracuse,New York,,,,,,75222.22,86650.0,94837.5
213,Pasadena,California,,544183.33,599133.33,634233.33,677583.33,700500.0,782125.0,811309.09
214,Bridgeport,Connecticut,136475.0,110625.0,105525.0,111933.33,118808.33,139308.33,152941.67,169627.27
215,Canton,Ohio,,,,,87540.0,93750.0,96533.33,102863.64
216,Newark,Delaware,203400.0,171558.33,188458.33,195641.67,207066.67,212425.0,221275.0,227218.18
217,Mesquite,Texas,86008.33,101316.67,113733.33,123633.33,138100.0,157958.33,171158.33,183000.0
218,Renton,Washington,274533.33,268383.33,292908.33,322116.67,360258.33,405841.67,444258.33,476681.82
219,Metairie,Louisiana,171928.57,185708.33,186766.67,194450.0,206016.67,221566.67,228266.67,242881.82
220,Santa Maria,California,236566.67,262833.33,299883.33,324208.33,350083.33,366183.33,382858.33,399163.64
221,Torrance,California,569025.0,592816.67,621516.67,636091.67,678050.0,698691.67,764383.33,811209.09
222,Clearwater,Florida,124258.33,123208.33,128341.67,140916.67,159325.0,177516.67,190966.67,201936.36
223,Fullerton,California,392083.33,456591.67,486066.67,504325.0,542225.0,562491.67,622650.0,629590.91
224,McAllen,Texas,,,128100.0,134408.33,142125.0,142425.0,152175.0,158881.82
225,Orange,California,,,,580628.57,602400.0,622700.0,671116.67,673090.91
226,Compton,California,174266.67,212016.67,252341.67,279283.33,310833.33,345958.33,386475.0,410472.73
227,Hampton,Virginia,,,,138028.57,143516.67,147258.33,155275.0,163945.45
228,Bellevue,Washington,,518833.33,554991.67,608125.0,666791.67,807608.33,854683.33,876145.45
229,Inglewood,California,230750.0,262233.33,302025.0,338241.67,375975.0,425600.0,499425.0,550618.18
230,Kent,Washington,239066.67,230725.0,248358.33,278875.0,318766.67,351841.67,386983.33,407300.0
231,West Valley City,Utah,158875.0,164200.0,174125.0,190741.67,208716.67,231850.0,258483.33,280318.18
232,Olathe,Kansas,188291.67,192483.33,198641.67,214075.0,228458.33,238825.0,260241.67,279745.45
233,Warren,Michigan,,59900.0,68016.67,80466.67,92941.67,105283.33,117758.33,126881.82
234,Miramar,Florida,142108.33,168783.33,188741.67,220666.67,244500.0,266691.67,292233.33,309790.91
235,Thornton,Colorado,174958.33,214191.67,228616.67,257891.67,292533.33,319175.0,353541.67,363445.45
236,Abilene,Texas,,121787.5,129366.67,135891.67,138258.33,141441.67,146208.33,160754.55
237,Concord,California,259883.33,355891.67,403208.33,440775.0,477500.0,523591.67,561600.0,576481.82
238,Cedar Rapids,Iowa,118966.67,124241.67,125275.0,127275.0,129033.33,133408.33,139208.33,144918.18
239,Bloomington,Indiana,,,,,162680.0,170308.33,182725.0,196490.91
240,Boulder,Colorado,408885.71,442341.67,455441.67,515033.33,613633.33,640133.33,695241.67,724036.36
241,Sterling Heights,Michigan,,132791.67,147966.67,158550.0,168516.67,179175.0,190091.67,201918.18
242,Carrollton,Texas,162975.0,177850.0,190775.0,217575.0,233441.67,259183.33,273983.33,287463.64
243,Coral Springs,Florida,,215408.33,248658.33,269875.0,286991.67,312016.67,341566.67,348372.73
244,Thousand Oaks,California,508016.67,563375.0,588075.0,631866.67,652450.0,683300.0,714916.67,727709.09
245,Victorville,California,119000.0,143108.33,168683.33,184741.67,203825.0,227658.33,244325.0,258236.36
246,Roseville,California,263025.0,318916.67,348800.0,359441.67,389125.0,418116.67,440958.33,467836.36
247,Surprise,Arizona,130208.33,154133.33,164908.33,176733.33,194816.67,209200.0,230458.33,246100.0
248,Hamilton,Ohio,103633.33,109433.33,116883.33,123308.33,136733.33,142916.67,144691.67,152400.0
249,Waco,Texas,,107375.0,112816.67,128983.33,136266.67,149666.67,153300.0,169427.27
250,Simi Valley,California,379908.33,414425.0,451908.33,481650.0,504391.67,531825.0,559491.67,576054.55
251,Stamford,Connecticut,450700.0,440233.33,439700.0,438000.0,438966.67,434541.67,440875.0,456000.0
252,Pearland,Texas,174016.67,178483.33,198375.0,219383.33,231925.0,240658.33,249300.0,260790.91
